ID,YEAR,MONTH,DATE,TIME,TRAIN_ID,LINE_ID,PLACE_ID,ST1_ID,ST2_ID,DELAY_ID,OPERATOR,CAUSE_ID,DETAIL
26,2021,มีนาคม,2021-03-06,7.27,28,3,1,BL37,,B,BEM,2,เวลา 07.27 น. ขบวนรถไฟฟ้าหมายเลข 28 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีบางแค ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
27,2021,มีนาคม,2021-03-06,10.57,38,3,1,BL37,,B,BEM,2,"เวลา 10.57 น. ขบวนรถไฟฟ้าหมายเลข 38 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีบางแค ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
-สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
28,2021,มีนาคม,2021-03-08,7.22,44,1,1,E7,,O,BTS,1,"07:22 ขบวนรถไฟฟ้าหมายเลข 44 ระบบขับเคลื่อนขัดข้องที่สถานีเอกมัย ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ, ไม่สามารถแก้ไขได้, ทำการเปลี่ยนถ่ายผู้โดยสารจากนั้นนำออกจาการให้บริการ"
29,2021,มีนาคม,2021-03-08,6.35,47,3,1,BL38,,B,BEM,2,เวลา 6.35 น. ขบวนรถไฟฟ้าหมายเลข 47 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีหลักสอง ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน
30,2021,มีนาคม,2021-03-09,9.3,20,2,1,S6,,O,BTS,3,"09:30  ขบวนรถหมายเลข20 ประตูขัดข้องที่สถานีสะพานตากสิน ฝั่งมุ่งหน้าสถานีปลายทางสนามกีฬาแห่งชาติ, ไม่สามารถแก้ไขได้, ทำการเปลี่ยนถ่ายผู้โดยสารจากนั้นนำออกจาการให้บริการ"
31,2021,มีนาคม,2021-03-12,18.48,12,3,1,BL17,,B,BEM,3,เวลา 18.48 น. ขบวนรถไฟฟ้าหมายเลข 12 เกิดเหตุประตูรถไฟฟ้าขัดข้อง ที่สถานีสุทธิสาร ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ
32,2021,มีนาคม,2021-03-13,17.35,City05,4,1,A2,,O,SRTET,1,เวลา 17:35 น. เกิดเหตุรถไฟฟ้า City05 TN100126 เกิดระบบขับเคลื่อนขัดข้อง ก่อนเข้าสถานีลาดกระบัง (ฝั่งขาออกนอกเมือง) ทำการขนถ่ายผู้โดยสารออกจากขบวนรถที่สถานีสุวรรณภูมิ ยกเลิก 1 เที่ยว เวลา 17.44 น.นำรถไฟให้บริการทดแทน.
33,2021,มีนาคม,2021-03-13,18.25,22,3,1,BL18,,B,BEM,3,เวลา 18.25 น. ขบวนรถไฟฟ้าหมายเลข 22 (ครั้งแรกแจ้งหมายเลข 05) เกิดเหตุประตูรถไฟฟ้าขัดข้อง ที่สถานีห้วยขวาง ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ
34,2021,มีนาคม,2021-03-16,21.17,8,3,1,BL11,,B,BEM,1,เวลา 21.17 น. ขบวนรถไฟฟ้าหมายเลข 08 เกิดเหตุระบบขับเคลื่อนรถไฟฟ้าอัตโนมัติขัดข้อง จำนวน 1 ขบวน ที่สถานีบางซื่อ ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน
35,2021,มีนาคม,2021-03-29,6.38,15,1,1,E23,,O,BTS,3,06.38 ขบวนรถไฟฟ้าหมายเลข 15 ประตูทางออกฉุกเฉินขัดข้อง และไม่สามารถแก้ไขได้ที่สถานีปลายทางเคหะฯ นำออกจากการให้บริการที่สถานีดังกล่าว
